"T","T_star","f","h","Points:0","Points:1","Points:2"
2.60378e+02,-1.27727e+01,0.00000e+00,-2.60562e+04,1.60000e-02,1.00000e-03,0.00000e+00
2.60321e+02,-1.28291e+01,0.00000e+00,-2.61714e+04,1.70000e-02,1.00000e-03,0.00000e+00
2.60273e+02,-1.28775e+01,0.00000e+00,-2.62701e+04,1.80000e-02,1.00000e-03,0.00000e+00
2.60231e+02,-1.29190e+01,0.00000e+00,-2.63547e+04,1.90000e-02,1.00000e-03,0.00000e+00
2.60195e+02,-1.29545e+01,0.00000e+00,-2.64273e+04,2.00000e-02,1.00000e-03,0.00000e+00
2.60165e+02,-1.29851e+01,0.00000e+00,-2.64896e+04,2.10000e-02,1.00000e-03,0.00000e+00
2.60139e+02,-1.30112e+01,0.00000e+00,-2.65429e+04,2.20000e-02,1.00000e-03,0.00000e+00
2.60117e+02,-1.30336e+01,0.00000e+00,-2.65886e+04,2.30000e-02,1.00000e-03,0.00000e+00
2.60097e+02,-1.30527e+01,0.00000e+00,-2.66275e+04,2.40000e-02,1.00000e-03,0.00000e+00
2.60081e+02,-1.30689e+01,0.00000e+00,-2.66607e+04,2.50000e-02,1.00000e-03,0.00000e+00
2.60067e+02,-1.30827e+01,0.00000e+00,-2.66888e+04,2.60000e-02,1.00000e-03,0.00000e+00
2.60056e+02,-1.30943e+01,0.00000e+00,-2.67125e+04,2.70000e-02,1.00000e-03,0.00000e+00
2.60046e+02,-1.31042e+01,0.00000e+00,-2.67325e+04,2.80000e-02,1.00000e-03,0.00000e+00
2.60038e+02,-1.31124e+01,0.00000e+00,-2.67493e+04,2.90000e-02,1.00000e-03,0.00000e+00
2.60031e+02,-1.31193e+01,0.00000e+00,-2.67634e+04,3.00000e-02,1.00000e-03,0.00000e+00
2.60025e+02,-1.31250e+01,0.00000e+00,-2.67751e+04,3.10000e-02,1.00000e-03,0.00000e+00
2.60020e+02,-1.31298e+01,0.00000e+00,-2.67847e+04,3.20000e-02,1.00000e-03,0.00000e+00
2.60016e+02,-1.31337e+01,0.00000e+00,-2.67927e+04,3.30000e-02,1.00000e-03,0.00000e+00
2.60013e+02,-1.31369e+01,0.00000e+00,-2.67993e+04,3.40000e-02,1.00000e-03,0.00000e+00
2.60010e+02,-1.31396e+01,0.00000e+00,-2.68047e+04,3.50000e-02,1.00000e-03,0.00000e+00
2.60008e+02,-1.31417e+01,0.00000e+00,-2.68090e+04,3.60000e-02,1.00000e-03,0.00000e+00
2.60007e+02,-1.31434e+01,0.00000e+00,-2.68126e+04,3.70000e-02,1.00000e-03,0.00000e+00
2.60005e+02,-1.31448e+01,0.00000e+00,-2.68154e+04,3.80000e-02,1.00000e-03,0.00000e+00
2.60004e+02,-1.31459e+01,0.00000e+00,-2.68177e+04,3.90000e-02,1.00000e-03,0.00000e+00
2.60003e+02,-1.31468e+01,0.00000e+00,-2.68195e+04,4.00000e-02,1.00000e-03,0.00000e+00
2.60002e+02,-1.31475e+01,0.00000e+00,-2.68209e+04,4.10000e-02,1.00000e-03,0.00000e+00
2.60002e+02,-1.31481e+01,0.00000e+00,-2.68221e+04,4.20000e-02,1.00000e-03,0.00000e+00
2.60002e+02,-1.31485e+01,0.00000e+00,-2.68230e+04,4.30000e-02,1.00000e-03,0.00000e+00
2.60002e+02,-1.31488e+01,0.00000e+00,-2.68237e+04,4.40000e-02,1.00000e-03,0.00000e+00
2.60001e+02,-1.31491e+01,0.00000e+00,-2.68242e+04,4.50000e-02,1.00000e-03,0.00000e+00
2.60000e+02,-1.31493e+01,0.00000e+00,-2.68246e+04,4.60000e-02,1.00000e-03,0.00000e+00
